train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,lr,step,total_steps,timestamp,datetime
1916.70959,0.0,143662.89062,1916.56592,0.02924,5000.0,0.0,-0.44393,0.0,35000,150000,2025-08-15 20:41:07,2025-08-15 20:41:07
2660.53979,0.0,149167.46875,2660.39062,0.04059,5000.0,0.0,-0.47524,0.0,35100,150000,2025-08-15 20:41:25,2025-08-15 20:41:25
2132.77905,0.0,144114.59375,2132.63501,0.03254,5000.0,0.0,-0.43544,0.0,35200,150000,2025-08-15 20:41:42,2025-08-15 20:41:42
1416.24194,0.0,150919.75,1416.09106,0.02161,5000.0,0.0,-0.49748,0.0,35300,150000,2025-08-15 20:42:01,2025-08-15 20:42:01
1556.12927,0.0,150204.375,1555.97913,0.02374,5000.0,0.0,-0.56358,0.0,35400,150000,2025-08-15 20:42:19,2025-08-15 20:42:19
2127.22266,0.0,142613.625,2127.08008,0.03246,5000.0,0.0,-0.44198,0.0,35500,150000,2025-08-15 20:42:37,2025-08-15 20:42:37
1891.1825,0.0,146340.5625,1891.03613,0.02885,5000.0,0.0,-0.42418,0.0,35600,150000,2025-08-15 20:42:55,2025-08-15 20:42:55
1566.18164,0.0,148015.26562,1566.03357,0.0239,5000.0,0.0,-0.45083,0.0,35700,150000,2025-08-15 20:43:14,2025-08-15 20:43:14
1425.67505,0.0,148992.3125,1425.526,0.02175,5000.0,0.0,-0.46536,0.0,35800,150000,2025-08-15 20:43:32,2025-08-15 20:43:32
1882.45483,0.0,146969.6875,1882.30786,0.02872,5000.0,0.0,-0.37453,0.0,35900,150000,2025-08-15 20:43:50,2025-08-15 20:43:50
2514.75464,0.0,143263.0625,2514.61133,0.03837,5000.0,0.0,-0.44826,0.0,36000,150000,2025-08-15 20:44:09,2025-08-15 20:44:09
1575.62988,0.0,146724.15625,1575.48315,0.02404,5000.0,0.0,-0.45752,0.0,36100,150000,2025-08-15 20:44:27,2025-08-15 20:44:27
2337.74414,0.0,145968.09375,2337.59814,0.03567,5000.0,0.0,-0.4322,0.0,36200,150000,2025-08-15 20:44:45,2025-08-15 20:44:45
1560.18494,0.0,149120.25,1560.03577,0.0238,5000.0,0.0,-0.47038,0.0,36300,150000,2025-08-15 20:45:04,2025-08-15 20:45:04
2758.16675,0.0,144216.96875,2758.02246,0.04208,5000.0,0.0,-0.38343,0.0,36400,150000,2025-08-15 20:45:22,2025-08-15 20:45:22
1083.54761,0.0,151230.21875,1083.39636,0.01653,5000.0,0.0,-0.51286,0.0,36500,150000,2025-08-15 20:45:40,2025-08-15 20:45:40
2219.39526,0.0,140439.98438,2219.25488,0.03386,5000.0,0.0,-0.43339,0.0,36600,150000,2025-08-15 20:45:58,2025-08-15 20:45:58
1595.38843,0.0,146790.45312,1595.24158,0.02434,5000.0,0.0,-0.36081,0.0,36700,150000,2025-08-15 20:46:17,2025-08-15 20:46:17
2637.61548,0.0,139291.5,2637.47607,0.04024,5000.0,0.0,-0.44833,0.0,36800,150000,2025-08-15 20:46:35,2025-08-15 20:46:35
2024.64441,0.0,141682.10938,2024.50269,0.03089,5000.0,0.0,-0.46964,0.0,36900,150000,2025-08-15 20:46:53,2025-08-15 20:46:53
1514.35229,0.0,154595.28125,1514.19775,0.0231,5000.0,0.0,-0.37312,0.0,37000,150000,2025-08-15 20:47:11,2025-08-15 20:47:11
1815.9491,0.0,147069.28125,1815.802,0.02771,5000.0,0.0,-0.3799,0.0,37100,150000,2025-08-15 20:47:30,2025-08-15 20:47:30
1640.51196,0.0,146947.75,1640.36499,0.02503,5000.0,0.0,-0.41795,0.0,37200,150000,2025-08-15 20:47:48,2025-08-15 20:47:48
1515.50842,0.0,153867.1875,1515.35461,0.02312,5000.0,0.0,-0.47123,0.0,37300,150000,2025-08-15 20:48:06,2025-08-15 20:48:06
1948.10254,0.0,144513.84375,1947.95801,0.02972,5000.0,0.0,-0.40088,0.0,37400,150000,2025-08-15 20:48:25,2025-08-15 20:48:25
1362.17261,0.0,154323.79688,1362.01831,0.02078,5000.0,0.0,-0.48907,0.0,37500,150000,2025-08-15 20:48:43,2025-08-15 20:48:43
1830.17859,0.0,144879.40625,1830.03369,0.02792,5000.0,0.0,-0.45299,0.0,37600,150000,2025-08-15 20:49:02,2025-08-15 20:49:02
1860.56604,0.0,144549.51562,1860.42151,0.02839,5000.0,0.0,-0.52918,0.0,37700,150000,2025-08-15 20:49:20,2025-08-15 20:49:20
1966.40759,0.0,149937.375,1966.25769,0.03,5000.0,0.0,-0.35579,0.0,37800,150000,2025-08-15 20:49:38,2025-08-15 20:49:38
2706.69653,0.0,144686.65625,2706.55176,0.0413,5000.0,0.0,-0.41867,0.0,37900,150000,2025-08-15 20:49:56,2025-08-15 20:49:56
1668.82544,0.0,144171.48438,1668.68127,0.02546,5000.0,0.0,-0.52484,0.0,38000,150000,2025-08-15 20:50:14,2025-08-15 20:50:14
1798.95703,0.0,150114.125,1798.80688,0.02745,5000.0,0.0,-0.43137,0.0,38100,150000,2025-08-15 20:50:33,2025-08-15 20:50:33
1752.92969,0.0,148787.15625,1752.78088,0.02675,5000.0,0.0,-0.47916,0.0,38200,150000,2025-08-15 20:50:51,2025-08-15 20:50:51
1784.48242,0.0,150335.76562,1784.33203,0.02723,5000.0,0.0,-0.4053,0.0,38300,150000,2025-08-15 20:51:09,2025-08-15 20:51:09
2077.1438,0.0,146067.90625,2076.9978,0.03169,5000.0,0.0,-0.40606,0.0,38400,150000,2025-08-15 20:51:28,2025-08-15 20:51:28
2071.46143,0.0,145902.17188,2071.31543,0.03161,5000.0,0.0,-0.48166,0.0,38500,150000,2025-08-15 20:51:46,2025-08-15 20:51:46
1297.09888,0.0,153337.4375,1296.94556,0.01979,5000.0,0.0,-0.47531,0.0,38600,150000,2025-08-15 20:52:05,2025-08-15 20:52:05
1261.08008,0.0,151895.07812,1260.92822,0.01924,5000.0,0.0,-0.51253,0.0,38700,150000,2025-08-15 20:52:23,2025-08-15 20:52:23
2062.75391,0.0,145297.01562,2062.60864,0.03147,5000.0,0.0,-0.44315,0.0,38800,150000,2025-08-15 20:52:41,2025-08-15 20:52:41
1705.74365,0.0,147231.4375,1705.59644,0.02603,5000.0,0.0,-0.44312,0.0,38900,150000,2025-08-15 20:52:59,2025-08-15 20:52:59
1356.82471,0.0,151169.60938,1356.67358,0.0207,5000.0,0.0,-0.49397,0.0,39000,150000,2025-08-15 20:53:18,2025-08-15 20:53:18
1778.36536,0.0,154641.40625,1778.21069,0.02713,5000.0,0.0,-0.40142,0.0,39100,150000,2025-08-15 20:53:36,2025-08-15 20:53:36
1781.45508,0.0,150849.4375,1781.3042,0.02718,5000.0,0.0,-0.50432,0.0,39200,150000,2025-08-15 20:53:54,2025-08-15 20:53:54
2159.0647,0.0,145284.09375,2158.91943,0.03294,5000.0,0.0,-0.51177,0.0,39300,150000,2025-08-15 20:54:12,2025-08-15 20:54:12
2472.43823,0.0,145540.625,2472.29272,0.03772,5000.0,0.0,-0.43602,0.0,39400,150000,2025-08-15 20:54:31,2025-08-15 20:54:31
1212.35901,0.0,152273.07812,1212.20679,0.0185,5000.0,0.0,-0.51605,0.0,39500,150000,2025-08-15 20:54:49,2025-08-15 20:54:49
1302.25122,0.0,153914.82812,1302.09729,0.01987,5000.0,0.0,-0.45759,0.0,39600,150000,2025-08-15 20:55:08,2025-08-15 20:55:08
1476.62952,0.0,154154.28125,1476.47534,0.02253,5000.0,0.0,-0.47351,0.0,39700,150000,2025-08-15 20:55:26,2025-08-15 20:55:26
1481.57251,0.0,156056.3125,1481.4165,0.0226,5000.0,0.0,-0.35819,0.0,39800,150000,2025-08-15 20:55:45,2025-08-15 20:55:45
2065.40845,0.0,149976.9375,2065.25854,0.03151,5000.0,0.0,-0.39437,0.0,39900,150000,2025-08-15 20:56:03,2025-08-15 20:56:03
1744.75378,0.0,144855.73438,1744.60889,0.02662,5000.0,0.0,-0.47042,0.0,40000,150000,2025-08-15 20:56:23,2025-08-15 20:56:23
1939.11633,0.0,147801.0,1938.96851,0.02959,5000.0,0.0,-0.40175,0.0,40100,150000,2025-08-15 20:56:41,2025-08-15 20:56:41
1873.59558,0.0,150074.25,1873.44556,0.02859,5000.0,0.0,-0.483,0.0,40200,150000,2025-08-15 20:56:59,2025-08-15 20:56:59
1564.22253,0.0,145621.78125,1564.0769,0.02387,5000.0,0.0,-0.46185,0.0,40300,150000,2025-08-15 20:57:18,2025-08-15 20:57:18
1479.1803,0.0,153501.89062,1479.02686,0.02257,5000.0,0.0,-0.36097,0.0,40400,150000,2025-08-15 20:57:36,2025-08-15 20:57:36
1427.94275,0.0,148180.875,1427.79456,0.02179,5000.0,0.0,-0.47805,0.0,40500,150000,2025-08-15 20:57:55,2025-08-15 20:57:55
1913.35461,0.0,150208.09375,1913.20435,0.02919,5000.0,0.0,-0.42197,0.0,40600,150000,2025-08-15 20:58:13,2025-08-15 20:58:13
1252.41992,0.0,154425.82812,1252.2655,0.01911,5000.0,0.0,-0.4754,0.0,40700,150000,2025-08-15 20:58:32,2025-08-15 20:58:32
2927.1084,0.0,149447.03125,2926.95898,0.04466,5000.0,0.0,-0.3856,0.0,40800,150000,2025-08-15 20:58:51,2025-08-15 20:58:51
1455.90198,0.0,155091.75,1455.74683,0.02221,5000.0,0.0,-0.42526,0.0,40900,150000,2025-08-15 20:59:09,2025-08-15 20:59:09
1557.84387,0.0,150496.15625,1557.69336,0.02377,5000.0,0.0,-0.45775,0.0,41000,150000,2025-08-15 20:59:27,2025-08-15 20:59:27
1274.08606,0.0,155295.42188,1273.93079,0.01944,5000.0,0.0,-0.47566,0.0,41100,150000,2025-08-15 20:59:45,2025-08-15 20:59:45
1732.68945,0.0,144100.35938,1732.54541,0.02644,5000.0,0.0,-0.46553,0.0,41200,150000,2025-08-15 21:00:04,2025-08-15 21:00:04
1124.0459,0.0,151566.42188,1123.89429,0.01715,5000.0,0.0,-0.51769,0.0,41300,150000,2025-08-15 21:00:22,2025-08-15 21:00:22
